winSize, paaSize, aSize, approximationDistance, minObservedCoverage, maxObservedCoverage, meanCoverage, numZeroRuns, maxZeroRunLength, grammarSize, zeroCoverageLength
50, 3, 5, 24.653246985348808, 1, 15, 8.0, 0, 0, 306, 0
50, 4, 5, 19.871386969608242, 0, 18, 8.0, 1, 8, 407, 8
50, 5, 5, 16.162152722409015, 0, 22, 11.0, 1, 9, 627, 9
50, 6, 5, 13.974658138639477, 0, 22, 10.0, 1, 9, 739, 9
50, 7, 5, 11.506766879373808, 0, 25, 12.0, 1, 15, 863, 15
50, 8, 5, 10.801226915783293, 0, 31, 14.0, 2, 8, 1119, 15
50, 9, 5, 15.032486500475947, 0, 27, 13.0, 2, 12, 1168, 21
50, 10, 5, 7.859726720544513, 0, 26, 12.0, 2, 23, 1226, 41
50, 11, 5, 17.04034031992047, 0, 28, 12.0, 2, 14, 1321, 27
50, 12, 5, 8.234610595968253, 0, 26, 12.0, 2, 19, 1394, 34
50, 13, 5, 27.57296144202207, 0, 25, 11.0, 2, 17, 1472, 32
50, 14, 5, 21.43651668043321, 0, 23, 10.0, 3, 25, 1482, 56
50, 15, 5, 14.375235969367798, 0, 25, 10.0, 3, 40, 1532, 68
50, 16, 5, 7.1148348771825916, 0, 25, 10.0, 1, 11, 1630, 11
50, 17, 5, 36.5202518809074, 0, 23, 9.0, 4, 29, 1606, 55
60, 3, 5, 31.40666430064538, 3, 16, 8.0, 0, 0, 301, 0
60, 4, 5, 26.232835108946688, 3, 18, 9.0, 0, 0, 466, 0
60, 5, 5, 21.306402987918727, 1, 21, 11.0, 0, 0, 669, 0
60, 6, 5, 18.10236261211708, 3, 26, 14.0, 0, 0, 864, 0
60, 7, 5, 18.286465527640306, 4, 29, 17.0, 0, 0, 1026, 0
60, 8, 5, 17.03076139079954, 1, 29, 15.0, 0, 0, 1121, 0
60, 9, 5, 20.20184628871613, 1, 29, 15.0, 0, 0, 1264, 0
60, 10, 5, 10.770595651616672, 1, 32, 16.0, 0, 0, 1330, 0
60, 11, 5, 17.385780072159623, 1, 29, 15.0, 0, 0, 1401, 0
60, 12, 5, 8.982410581538113, 1, 28, 15.0, 0, 0, 1508, 0
60, 13, 5, 24.45780936310058, 0, 27, 14.0, 1, 21, 1594, 21
60, 14, 5, 14.249380712289927, 0, 25, 12.0, 2, 22, 1639, 23
60, 15, 5, 7.264440002001931, 0, 26, 12.0, 2, 83, 1704, 93
60, 16, 5, 33.97041888528538, 0, 29, 11.0, 2, 123, 1699, 130
60, 17, 5, 27.171407465423194, 0, 24, 10.0, 3, 125, 1714, 134
70, 3, 5, 40.28614484491783, 3, 17, 9.0, 0, 0, 270, 0
70, 4, 5, 33.0695839098465, 3, 20, 11.0, 0, 0, 501, 0
70, 5, 5, 27.743136965322414, 3, 24, 12.0, 0, 0, 659, 0
70, 6, 5, 25.522786177364345, 3, 33, 17.0, 0, 0, 880, 0
70, 7, 5, 20.503604048621977, 2, 30, 16.0, 0, 0, 996, 0
70, 8, 5, 24.534313764914277, 2, 34, 19.0, 0, 0, 1142, 0
70, 9, 5, 25.982932423440275, 1, 34, 18.0, 0, 0, 1252, 0
70, 10, 5, 14.104886892910356, 1, 31, 17.0, 0, 0, 1377, 0
70, 11, 5, 17.82171315522832, 0, 34, 17.0, 1, 39, 1458, 39
70, 12, 5, 32.71981521423337, 0, 32, 16.0, 1, 58, 1555, 58
70, 13, 5, 19.530125783222914, 0, 28, 15.0, 1, 58, 1676, 58
70, 14, 5, 10.156247374526146, 1, 30, 15.0, 0, 0, 1740, 0
70, 15, 5, 32.83886291802825, 0, 28, 14.0, 1, 58, 1762, 58
70, 16, 5, 22.03167750462585, 0, 31, 15.0, 1, 80, 1840, 80
70, 17, 5, 10.593428993913895, 0, 31, 14.0, 1, 110, 1871, 110
80, 3, 5, 48.40898685666102, 5, 22, 11.0, 0, 0, 313, 0
80, 4, 5, 38.61404435736043, 1, 25, 14.0, 0, 0, 550, 0
