winSize, paaSize, aSize, approximationDistance, minObservedCoverage, maxObservedCoverage, meanCoverage, numZeroRuns, maxZeroRunLength, grammarSize, zeroCoverageLength
50, 3, 3, 25.540109366759623, 2, 10, 6.0, 0, 0, 130, 0
50, 3, 4, 24.99082907614179, 1, 13, 6.0, 0, 0, 160, 0
50, 3, 5, 24.653246985348808, 1, 15, 8.0, 0, 0, 306, 0
50, 3, 6, 24.279443119710834, 1, 18, 8.0, 0, 0, 338, 0
50, 3, 7, 24.265651225129346, 1, 22, 9.0, 0, 0, 431, 0
50, 3, 8, 24.148424215908243, 0, 18, 8.0, 2, 6, 443, 12
50, 3, 9, 24.253072882952686, 1, 22, 10.0, 0, 0, 515, 0
50, 3, 10, 24.267844120878774, 0, 20, 10.0, 1, 4, 575, 4
50, 3, 11, 24.335288054752137, 0, 22, 11.0, 1, 4, 654, 4
50, 4, 3, 20.347156036817026, 1, 12, 7.0, 0, 0, 236, 0
50, 4, 4, 19.640188441729357, 1, 15, 7.0, 0, 0, 312, 0
50, 4, 5, 19.871386969608242, 0, 18, 8.0, 1, 8, 407, 8
50, 4, 6, 19.965808615270806, 0, 17, 9.0, 2, 9, 471, 17
50, 4, 7, 19.694799050718114, 1, 24, 11.0, 0, 0, 669, 0
50, 4, 8, 19.487782510859137, 0, 24, 11.0, 1, 8, 767, 8
50, 4, 9, 19.581434744951316, 1, 23, 11.0, 0, 0, 789, 0
50, 4, 10, 19.434502822565065, 0, 23, 11.0, 1, 8, 951, 8
50, 4, 11, 19.276394160687673, 0, 24, 12.0, 1, 10, 1000, 10
50, 5, 3, 16.05179916177909, 1, 11, 6.0, 0, 0, 275, 0
50, 5, 4, 15.973815029439304, 1, 18, 8.0, 0, 0, 439, 0
50, 5, 5, 16.162152722409015, 0, 22, 11.0, 1, 9, 627, 9
50, 5, 6, 15.95836020728721, 0, 25, 12.0, 1, 7, 690, 7
50, 5, 7, 15.887728666469556, 0, 24, 11.0, 2, 17, 849, 19
50, 5, 8, 15.642781184800443, 0, 23, 11.0, 1, 13, 938, 13
50, 5, 9, 15.560935405501056, 0, 27, 13.0, 1, 6, 1052, 6
50, 5, 10, 15.483952577521586, 0, 26, 12.0, 1, 12, 1184, 12
50, 5, 11, 15.444661327351177, 0, 25, 11.0, 3, 14, 1198, 27
50, 6, 3, 13.970093499612002, 0, 16, 7.0, 1, 6, 361, 6
50, 6, 4, 14.01178007862718, 2, 23, 10.0, 0, 0, 511, 0
50, 6, 5, 13.974658138639477, 0, 22, 10.0, 1, 9, 739, 9
50, 6, 6, 13.802679677101697, 0, 23, 10.0, 2, 10, 828, 17
50, 6, 7, 13.848455051919766, 1, 23, 12.0, 0, 0, 1031, 0
50, 6, 8, 13.696416339788664, 0, 28, 13.0, 1, 16, 1144, 16
50, 6, 9, 13.666731737097859, 0, 27, 13.0, 1, 13, 1278, 13
50, 6, 10, 13.534739692167472, 0, 29, 13.0, 2, 16, 1374, 29
50, 6, 11, 13.50830550193095, 0, 27, 12.0, 3, 22, 1403, 45
50, 7, 3, 11.71147677617532, 1, 17, 9.0, 0, 0, 457, 0
50, 7, 4, 11.477895740569602, 1, 22, 10.0, 0, 0, 648, 0
50, 7, 5, 11.506766879373808, 0, 25, 12.0, 1, 15, 863, 15
50, 7, 6, 11.548432225457482, 0, 24, 12.0, 1, 12, 976, 12
50, 7, 7, 11.436078104619057, 0, 26, 13.0, 1, 18, 1186, 18
50, 7, 8, 11.413295330266804, 0, 28, 12.0, 1, 15, 1314, 15
50, 7, 9, 11.366862421365022, 0, 27, 12.0, 3, 18, 1376, 51
50, 7, 10, 11.290306361477452, 0, 23, 10.0, 1, 69, 1567, 69
50, 7, 11, 11.24976132608999, 0, 25, 10.0, 3, 19, 1534, 40
50, 8, 3, 11.19524600577263, 1, 21, 9.0, 0, 0, 554, 0
50, 8, 4, 10.93362435445991, 1, 23, 11.0, 0, 0, 719, 0
50, 8, 5, 10.801226915783293, 0, 31, 14.0, 2, 8, 1119, 15
50, 8, 6, 10.83468332674176, 0, 26, 11.0, 2, 65, 1121, 82
50, 8, 7, 10.794158434082041, 0, 28, 13.0, 2, 111, 1335, 135
50, 8, 8, 10.78008806774, 0, 28, 12.0, 1, 15, 1364, 15
50, 8, 9, 10.733322031134497, 0, 22, 10.0, 2, 21, 1441, 37
50, 8, 10, 10.6409395067386, 0, 25, 9.0, 2, 17, 1657, 33
50, 8, 11, 10.632490117789144, 0, 25, 9.0, 3, 81, 1599, 120
50, 9, 3, 15.396436482473575, 0, 22, 9.0, 1, 5, 606, 5
50, 9, 4, 15.083844458711107, 1, 28, 12.0, 0, 0, 869, 0
50, 9, 5, 15.032486500475947, 0, 27, 13.0, 2, 12, 1168, 21
