winSize, paaSize, aSize, approximationDistance, minObservedCoverage, maxObservedCoverage, meanCoverage, numZeroRuns, maxZeroRunLength, grammarSize, zeroCoverageLength, r1, r2, r3, r4, r5 
30, 3, 3, 12.503846264300382, 1, 13, 4.0, 0, 0, 196, 0, 0, 1, 0, 0, 0
30, 3, 4, 12.500501497948909, 0, 14, 5.0, 1, 43, 238, 43, 0, 1, 0, 1, 0
30, 3, 5, 12.365762948698032, 0, 13, 5.0, 1, 7, 323, 7, 0, 1, 0, 1, 0
30, 3, 6, 12.198591418040328, 0, 17, 6.0, 1, 15, 358, 15, 0, 1, 0, 1, 0
30, 3, 7, 12.113711856098124, 1, 18, 7.0, 0, 0, 494, 0, 0, 1, 0, 0, 0
30, 3, 8, 12.116899452929923, 1, 17, 6.0, 0, 0, 483, 0, 0, 1, 0, 0, 0
30, 3, 9, 11.920947528030151, 0, 15, 6.0, 2, 28, 537, 49, 0, 1, 0, 1, 0
30, 3, 10, 11.943381527662675, 0, 19, 7.0, 4, 45, 571, 111, 0, 1, 0, 1, 0
30, 3, 11, 12.120270647470496, 0, 16, 6.0, 1, 14, 560, 14, 0, 1, 0, 1, 0
30, 4, 3, 9.665486171145671, 1, 16, 6.0, 0, 0, 212, 0, 0, 1, 0, 0, 0
30, 4, 4, 9.804382817594648, 0, 12, 5.0, 3, 22, 371, 39, 0, 1, 0, 1, 0
30, 4, 5, 10.056444592342116, 0, 19, 6.0, 3, 45, 452, 85, 0, 1, 0, 1, 0
30, 4, 6, 9.647253435708851, 0, 16, 6.0, 2, 21, 508, 37, 0, 1, 0, 1, 0
30, 4, 7, 9.497356200622045, 1, 20, 8.0, 0, 0, 624, 0, 0, 1, 0, 0, 0
30, 4, 8, 9.603454515099795, 0, 15, 6.0, 4, 50, 709, 133, 0, 1, 0, 1, 0
30, 4, 9, 9.443433717198428, 0, 19, 7.0, 5, 52, 710, 152, 0, 1, 0, 1, 0
30, 4, 10, 9.51787219841284, 0, 16, 7.0, 3, 46, 844, 84, 0, 1, 0, 1, 0
30, 4, 11, 9.258935450405826, 0, 19, 7.0, 1, 22, 894, 22, 0, 1, 0, 1, 0
30, 5, 3, 7.421900910701312, 0, 14, 5.0, 1, 7, 317, 7, 0, 1, 0, 1, 0
30, 5, 4, 7.445447625070451, 0, 20, 6.0, 1, 10, 456, 10, 0, 1, 0, 1, 0
30, 5, 5, 7.289139273826479, 0, 21, 7.0, 4, 16, 618, 45, 0, 1, 0, 1, 0
30, 5, 6, 7.281094662072559, 0, 26, 8.0, 1, 16, 664, 16, 0, 1, 0, 1, 0
30, 5, 7, 7.260456722223245, 0, 20, 7.0, 1, 9, 804, 9, 0, 1, 0, 1, 0
30, 5, 8, 7.172795050566415, 0, 19, 7.0, 2, 15, 861, 25, 0, 1, 0, 1, 0
30, 5, 9, 7.080632273622862, 0, 18, 7.0, 4, 22, 942, 76, 0, 1, 0, 1, 0
30, 5, 10, 7.034806809938907, 0, 18, 7.0, 3, 50, 1022, 114, 0, 1, 0, 1, 0
30, 5, 11, 7.051355403697446, 0, 19, 7.0, 6, 54, 1060, 167, 1, 1, 1, 1, 0
30, 6, 3, 6.182734962027721, 0, 16, 6.0, 1, 16, 376, 16, 0, 1, 0, 1, 0
30, 6, 4, 6.211688515984397, 0, 22, 7.0, 2, 46, 585, 69, 0, 1, 0, 1, 0
30, 6, 5, 6.030685809085304, 0, 17, 6.0, 2, 45, 669, 61, 0, 1, 0, 1, 0
30, 6, 6, 5.923655831563587, 0, 19, 8.0, 2, 52, 891, 98, 0, 1, 0, 1, 0
30, 6, 7, 5.954185298245176, 0, 18, 6.0, 6, 50, 923, 128, 0, 1, 0, 1, 0
30, 6, 8, 5.9090858801214825, 0, 22, 6.0, 4, 47, 933, 97, 0, 1, 0, 1, 0
30, 6, 9, 5.893889340079337, 0, 19, 6.0, 5, 22, 1016, 99, 0, 1, 0, 1, 0
30, 6, 10, 5.7954223699793355, 0, 19, 7.0, 5, 51, 1131, 128, 1, 1, 1, 1, 0
30, 6, 11, 5.778318736914865, 0, 17, 6.0, 5, 51, 1222, 175, 0, 1, 0, 1, 0
30, 7, 3, 6.399033616890295, 0, 20, 6.0, 1, 20, 438, 20, 0, 1, 0, 1, 0
30, 7, 4, 6.433366698212269, 0, 19, 6.0, 2, 15, 725, 24, 0, 1, 0, 1, 0
30, 7, 5, 6.353368094984234, 0, 19, 6.0, 5, 48, 745, 127, 0, 1, 0, 1, 0
30, 7, 6, 6.177528218215069, 0, 20, 7.0, 6, 50, 933, 176, 0, 1, 0, 1, 0
30, 7, 7, 6.143997403544482, 0, 18, 6.0, 2, 15, 1023, 26, 0, 1, 0, 1, 0
30, 7, 8, 6.10719374410563, 0, 14, 6.0, 6, 23, 1071, 109, 0, 1, 0, 1, 0
30, 7, 9, 6.089379533768379, 0, 18, 7.0, 7, 47, 1132, 158, 0, 1, 0, 1, 0
30, 7, 10, 6.087280105010108, 0, 16, 6.0, 8, 50, 1210, 179, 1, 1, 1, 1, 0
30, 7, 11, 6.05279802362103, 0, 17, 6.0, 6, 54, 1271, 200, 1, 1, 1, 1, 0
30, 8, 3, 12.778921749011142, 0, 19, 7.0, 2, 16, 484, 28, 0, 1, 0, 1, 0
30, 8, 4, 12.530918202310417, 0, 17, 6.0, 5, 48, 746, 153, 0, 1, 0, 1, 0
30, 8, 5, 12.279995649565524, 0, 18, 7.0, 7, 46, 884, 175, 0, 1, 0, 1, 0
30, 8, 6, 12.097439394047518, 0, 21, 7.0, 2, 49, 978, 73, 0, 1, 0, 1, 0
30, 8, 7, 11.994525458542915, 0, 20, 7.0, 7, 51, 1142, 131, 0, 1, 0, 1, 0
30, 8, 8, 11.919565121789983, 0, 16, 6.0, 5, 51, 1192, 97, 0, 1, 0, 1, 0
30, 8, 9, 11.816229622169729, 0, 17, 5.0, 8, 54, 1238, 250, 0, 1, 0, 1, 0
30, 8, 10, 11.811279841086709, 0, 15, 5.0, 11, 88, 1257, 384, 1, 1, 1, 1, 0
30, 8, 11, 11.771874718270384, 0, 16, 5.0, 10, 56, 1254, 257, 1, 1, 1, 1, 0
30, 9, 3, 7.214153475752156, 0, 19, 6.0, 1, 16, 579, 16, 0, 1, 0, 1, 0
30, 9, 4, 7.190368823689187, 0, 16, 6.0, 1, 47, 790, 47, 0, 1, 0, 1, 0
30, 9, 5, 7.049486045531205, 0, 18, 6.0, 4, 53, 967, 139, 0, 1, 0, 1, 0
30, 9, 6, 6.9536898866901025, 0, 19, 7.0, 2, 50, 1106, 59, 0, 1, 0, 1, 0
30, 9, 7, 6.877216643319435, 0, 17, 6.0, 6, 51, 1120, 198, 1, 1, 1, 1, 0
30, 9, 8, 6.834655295657786, 0, 20, 6.0, 8, 51, 1241, 209, 0, 1, 0, 1, 0
30, 9, 9, 6.836606957486473, 0, 16, 5.0, 14, 27, 1265, 253, 1, 1, 1, 1, 0
30, 9, 10, 6.7891222503103394, 0, 15, 4.0, 9, 54, 1355, 333, 0, 1, 0, 1, 0
30, 9, 11, 6.753004444981818, 0, 17, 4.0, 9, 85, 1361, 321, 1, 1, 1, 1, 0
30, 10, 3, 3.5184470100662213, 0, 15, 6.0, 2, 16, 624, 25, 0, 1, 0, 1, 0
30, 10, 4, 3.4700816203890996, 0, 17, 6.0, 4, 32, 900, 62, 0, 1, 0, 1, 0
30, 10, 5, 3.4526389298670788, 0, 18, 6.0, 4, 46, 973, 115, 0, 1, 0, 1, 0
30, 10, 6, 3.3771517098359993, 0, 19, 5.0, 6, 53, 1180, 170, 0, 1, 0, 1, 0
30, 10, 7, 3.3173112273857717, 0, 17, 6.0, 7, 50, 1257, 204, 0, 1, 0, 1, 0
30, 10, 8, 3.3206815632211395, 0, 15, 5.0, 7, 27, 1294, 139, 0, 1, 0, 1, 0
30, 10, 9, 3.2894886399741474, 0, 15, 4.0, 10, 50, 1334, 305, 1, 1, 1, 1, 0
30, 10, 10, 3.289764529136824, 0, 16, 4.0, 13, 56, 1382, 285, 1, 1, 1, 1, 0
30, 10, 11, 3.2741325520375706, 0, 13, 3.0, 13, 86, 1417, 423, 1, 1, 1, 1, 0
30, 11, 3, 16.066924011792075, 0, 21, 6.0, 2, 46, 729, 63, 0, 1, 0, 1, 0
30, 11, 4, 15.867281550988695, 0, 18, 6.0, 3, 23, 903, 51, 0, 1, 0, 1, 0
30, 11, 5, 15.55332023340518, 0, 17, 6.0, 3, 47, 1059, 90, 0, 1, 0, 1, 0
30, 11, 6, 15.540422146818143, 0, 19, 5.0, 3, 51, 1172, 86, 0, 1, 0, 1, 0
