Dataset,Euclidean 1NN,DTW 1NN,SAX-VSM,SAX-VSM-G
50words,0.369,0.31,0.3736,0.363
Adiac,0.389,0.396,0.4169,0.368
Arrowhead (Projectile),0.32,0.32,0.4057,0.314
Beef,0.467,0.5,0.8667,0.467
CBF,0.148,0.003,0.0067,0.012
ChlorineConcentration,0.35,0.352,0.3412,0.339
CinC_ECG_torso,0.1029,0.3493,0.3442,0.288
Coffee,0.25,0.179,0,0
Cricket,0.0511,0.0102,0.8163,0.051
Cricket_X,0.4256,0.2231,0.3077,0.346
Cricket_Y,0.3564,0.2077,0.318,0.369
Cricket_Z,0.3795,0.2077,0.2974,0.359
DiatomSizeReduction,0.0654,0.0327,0.1209,0.088
ECG200,0.12,0.23,0.14,0.19
ECGFiveDays,0.065,0.232,0.0035,0.009
ElectricDevices,0.9132,0.9132,0.3739,0.443
FaceAll,0.286,0.192,0.2444,0.263
FaceFour,0.216,0.17,0.1136,0
FacesUCR,0.2307,0.0951,0.1,0.094
Fish,0.217,0.167,0.0171,0.029
Gun_Point,0.087,0.093,0.0133,0.013
Haptics,0.6299,0.6234,0.5747,0.63
InlineSkate,0.6582,0.6164,0.5927,0.584
ItalyPowerDemand,0.0949,0.0495,0.0894,0.069
Lighting2,0.246,0.131,0.2295,0.279
Lighting7,0.425,0.274,0.3425,0.356
MALLAT,0.0857,0.0661,0.1992,0.075
Mallet,0.0346,0.0236,0.0351,0.035
MedicalImages,0.3158,0.433,0.5158,0.504
MoteStrain,0.1214,0.1653,0.1166,0.143
OliveOil,0.133,0.133,0.133,0.133
OSULeaf,0.483,0.409,0.1529,0.12
Passgraph,0.3664,0.2824,0.3435,0.313
Shield,0.1395,0.1395,0.124,0.062
SonyAIBORobot Surface,0.3045,0.2745,0.3062,0.328
SonyAIBORobot SurfaceII,0.1406,0.1689,0.1259,0.115
StarLightCurves,0.0632,0.093,0.1077,0.095
SwedishLeaf,0.213,0.21,0.2752,0.227
Symbols,0.1005,0.0503,0.0895,0.175
Synthetic_control,0.12,0.007,0.0133,0.02
Trace,0.24,0,0,0
Two_Patterns,0.09,0,0.0035,0.001
TwoLeadECG,0.2529,0.0957,0.0114,0.014
uWaveGestureLibrary_X,0.2607,0.2725,0.3236,0.267
uWaveGestureLibrary_Y,0.3384,0.3659,0.3638,0.354
uWaveGestureLibrary_Z,0.3504,0.3417,0.3565,0.317
Wafer,0.005,0.02,0.0023,0.002
WordsSynonyms,0.3824,0.3511,0.4357,0.48
Yoga,0.17,0.164,0.151,0.156
